CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID PRICE
","ASK PRICE
","ASK QTY
","STRIKE PRICE
","BID QTY
","BID PRICE
","ASK PRICE
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,"4,553","1,167","1,68,634",29.36,476.00,-41.60,25,470.00,476.00,825,"32,900.00",150,463.00,470.90,50,-95.95,463.00,31.75,"2,54,747","3,472","5,287",
,"32,856","18,660","6,22,373",29.18,424.00,-39.85,250,415.90,418.50,25,"33,000.00",25,509.50,515.00,725,-92.65,515.00,31.83,"6,33,552","16,003","22,562",
,"5,946","4,466","2,30,900",28.97,375.00,-45.95,325,370.00,375.95,100,"33,100.00",225,552.00,573.55,25,-81.80,572.80,32.09,"1,52,426","1,288","1,718",
,"11,514","8,222","4,23,980",28.78,330.00,-46.75,"1,025",330.00,334.00,25,"33,200.00",25,608.30,630.00,200,-103.50,615.10,31.11,"1,75,761","2,985","3,357",
,"9,799","7,278","2,81,363",28.56,288.00,-46.20,25,290.00,291.35,50,"33,300.00","1,500",680.00,685.00,25,-93.20,680.60,31.45,"77,182","1,392","1,634",
,"6,061","4,572","2,12,351",28.36,250.00,-44.10,275,250.00,255.00,450,"33,400.00",125,728.60,757.05,125,-100.65,741.95,31.30,"25,518",297,524,
,"27,537","14,648","6,91,278",28.50,216.30,-42.05,50,218.35,220.10,50,"33,500.00",50,808.95,822.10,125,-95.90,804.05,30.99,"57,718","2,302","3,755",
,"5,318","3,923","1,74,874",28.19,187.20,-41.15,250,187.00,191.00,50,"33,600.00",200,836.35,907.70,125,-84.30,884.30,31.78,"3,744",174,223,
,"4,537","2,362","1,21,978",28.23,162.00,-38.95,200,160.05,165.95,75,"33,700.00",125,930.30,993.50,125,-77.45,950.00,31.29,"2,297",228,298,
,"9,764","7,378","2,36,724",28.13,138.00,-34.00,50,136.20,141.00,150,"33,800.00",125,"1,008.10","1,040.05",25,-77.15,"1,022.15",31.07,"2,858",165,201,
,"5,096","4,013","93,389",28.23,119.00,-29.75,300,111.00,120.00,50,"33,900.00",75,"1,093.60","1,122.80",50,-64.00,"1,114.25",32.33,426,17,85,
,"33,862","19,581","4,57,144",27.81,97.00,-31.85,25,97.00,99.15,275,"34,000.00",25,"1,191.15","1,197.95",25,-70.85,"1,197.40",32.70,"8,752",648,"1,626",
,"4,412","3,283","78,624",27.73,81.05,-29.90,25,81.15,82.00,25,"34,100.00",250,"1,247.20","1,285.00",25,-57.25,"1,289.25",33.74,200,32,49,
,"4,220","3,182","82,961",28.33,72.80,-21.60,25,69.00,69.90,350,"34,200.00",125,"1,294.75","1,392.95",125,-102.35,"1,337.65",30.19,117,25,33,
,"5,307","4,277","70,443",27.65,56.00,-22.85,"1,000",55.00,58.00,150,"34,300.00",150,"1,397.45","1,468.10",25,-119.00,"1,426.00",30.41,267,16,23,
,"3,819","2,858","61,756",28.06,49.00,-17.65,50,46.50,49.60,25,"34,400.00",25,"1,481.60","1,580.40",125,-74.00,"1,526.00",31.93,60,6,10,
,"25,433","16,757","3,02,593",27.97,40.00,-18.35,325,40.00,40.25,25,"34,500.00",125,"1,619.95","1,643.75",500,-93.25,"1,619.20",32.55,466,28,308,
,"3,907","3,119","69,769",27.84,32.20,-16.80,25,32.20,34.40,50,"34,600.00",125,"1,684.25","1,781.55",125,80.75,"1,751.40",38.02,1,1,1,
,"3,270","1,652","63,755",28.00,28.45,-11.85,25,26.90,28.50,50,"34,700.00",125,"1,774.35","1,870.05",125,137.65,"1,851.35",39.54,1,1,1,
,"3,258","2,534","57,597",28.27,23.00,-11.15,25,22.05,22.90,200,"34,800.00",125,"1,854.40","1,952.55",125,-244.45,"1,876.35",29.55,2,1,1,
,"2,552","1,997","43,184",28.53,19.60,-10.10,75,19.00,19.35,25,"34,900.00",250,"1,976.60","2,049.50",250,-227.35,"1,985.00",32.61,4,1,1,
,"21,908","10,042","2,66,478",28.25,15.00,-10.40,"1,400",15.00,15.95,25,"35,000.00",125,"2,044.90","2,162.70",75,-105.20,"2,088.90",34.64,224,-55,725,
,"1,936","1,482","26,517",28.64,13.05,-8.10,25,13.00,13.85,150,"35,100.00",50,"2,152.50","2,240.75",25,-,"2,407.00",-,-,-,1,
,"2,547","2,108","29,734",29.21,11.80,-6.80,25,10.10,11.80,125,"35,200.00","1,275","2,129.60","2,396.00","1,275",205.25,"2,144.00",-,3,1,1,
,"2,269","1,881","20,777",29.61,10.35,-6.50,"3,000",9.00,10.00,25,"35,300.00","1,275","2,204.30","2,488.55","1,275",379.25,"2,365.00",32.45,1,1,1,
,"1,180","1,009","15,216",29.82,8.70,-6.05,100,8.10,9.20,25,"35,400.00","1,275","2,301.10","2,704.10",500,-214.45,"2,351.05",-,2,1,2,
,"17,570","11,441","1,06,124",30.14,7.85,-5.30,25,7.85,8.15,25,"35,500.00",550,"2,538.60","2,659.30","1,775",-234.50,"2,556.45",31.24,14,4,6,
,"1,081",743,"12,387",31.22,7.70,-3.70,50,7.00,8.10,250,"35,600.00","1,275","2,400.20","2,844.95",500,282.50,"2,413.20",-,1,1,1,
,"1,260","1,082","12,281",31.45,6.55,-3.80,25,6.00,6.70,125,"35,700.00",25,"2,619.25","2,869.20",25,-,-,-,-,-,-,
,"1,149",777,"13,074",31.92,5.90,-3.50,25,5.95,6.20,100,"35,800.00",25,"2,696.85","2,990.20",25,-,-,-,-,-,-,
,"1,332","1,235","9,562",32.61,5.60,-3.50,25,5.55,5.90,50,"35,900.00",25,"2,802.60","3,087.30","1,275",-,-,-,-,-,-,
,"15,274","7,694","90,996",32.89,4.85,-3.95,"1,000",4.85,4.95,50,"36,000.00",200,"3,045.40","3,101.05",100,-94.60,"3,059.80",38.12,4,2,24,
,320,320,"3,128",34.00,5.10,"-2,448.40",150,4.85,5.05,50,"36,100.00","1,275","2,969.10","3,333.05","1,275",-,-,-,-,-,-,
,218,201,"2,092",34.89,5.10,-3.50,100,5.00,5.15,25,"36,200.00",25,"3,072.05","3,392.65",25,-,-,-,-,-,-,
,158,145,"1,079",34.70,4.00,-5.20,"5,000",3.35,4.90,25,"36,300.00",25,"3,193.65","3,463.85",25,-,-,-,-,-,-,
,95,95,899,36.23,4.65,"-2,311.40",25,4.00,5.15,"2,250","36,400.00","1,275","3,258.00","3,650.10","1,275",-,-,-,-,-,-,
,"7,105","5,008","34,231",36.63,4.10,-2.35,500,3.85,4.10,300,"36,500.00",500,"3,561.90","3,611.80",500,-,-,-,-,-,-,
,140,138,499,37.26,4.00,-2.45,400,3.15,4.20,350,"36,600.00","1,275","3,468.25","3,818.60","1,275",-,-,-,-,-,-,
,27,27,61,37.12,3.20,"-2,181.20",200,3.30,5.10,"1,000","36,700.00",500,"3,517.80","3,934.50","1,275",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,600",2.70,4.95,"2,000","36,800.00","1,275","3,663.75","4,037.05","1,275",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",2.75,5.45,"1,000","36,900.00","1,275","3,761.05","4,129.15","1,275",-,-,-,-,-,-,
,"6,708","5,023","34,237",39.91,3.45,-1.65,525,3.25,3.45,25,"37,000.00",500,"4,019.10","4,119.05",500,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,350",2.60,3.55,200,"37,100.00",500,"3,899.90","4,326.75",500,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",2.35,-,-,"37,200.00",500,"4,050.50","4,544.05",500,-,-,-,-,-,-,
,-,-,-,-,-,-,"5,000",2.20,4.55,"1,000","37,300.00","1,275","4,152.50","4,501.70","1,275",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",2.35,7.80,800,"37,400.00",500,"4,218.35","4,740.25","1,275",-,-,-,-,-,-,
,"1,921",807,"12,929",43.34,3.05,-1.15,475,3.05,3.30,"1,575","37,500.00","1,275","4,281.50","4,660.10","1,275","1,236.95","4,420.55",-,1,1,1,
,1,1,1,45.57,4.05,"-1,818.90",50,3.00,3.30,200,"37,600.00",500,"4,425.10","4,837.90",500,-,-,-,-,-,-,
,21,21,101,45.38,3.35,"-1,782.45",975,3.35,4.65,400,"37,700.00","1,275","4,542.20","4,966.55",500,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,600",2.10,5.95,250,"37,800.00","1,275","4,641.10","5,015.05","1,275",-,-,-,-,-,-,
,11,11,31,45.85,2.70,"-1,710.60","1,500",2.20,4.45,250,"37,900.00","1,275","4,738.30","5,220.65",500,-,-,-,-,-,-,
,"3,124","2,399","19,357",46.52,2.65,-1.30,400,2.65,2.80,"2,500","38,000.00","1,275","5,012.65","5,200.30",25,-,-,-,-,-,-,
,7,7,29,47.19,2.60,"-1,640.50",175,2.55,2.80,150,"38,100.00","1,275","4,933.75","5,319.00","1,275",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,600",2.05,5.90,125,"38,200.00","1,275","5,032.15","5,423.95","1,275",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,600",2.05,5.50,50,"38,300.00",500,"5,111.20","5,526.55","1,275",-,-,-,-,-,-,
,-,-,-,-,-,-,25,3.00,-,-,"38,400.00","1,275","5,227.45","5,811.95",500,-,-,-,-,-,-,
,"3,352","2,876","21,742",49.98,2.50,-1.40,125,2.40,2.50,175,"38,500.00","1,275","5,451.45","5,716.80",25,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",1.75,2.45,200,"38,600.00",500,"5,387.60","5,907.70","1,275",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",1.80,-,-,"38,700.00",500,"5,494.15","6,087.30",500,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",1.75,-,-,"38,800.00",500,"5,554.30","6,193.55",500,-,-,-,-,-,-,
,"3,023","2,732","22,254",52.47,2.30,-1.55,"1,075",2.30,2.40,"2,500","38,900.00","1,275","5,743.70","6,077.35",25,-,-,-,-,-,-,
